,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
209,-0.08867946520390495,-0.0010898681257890284,-0.06952963767707562,-0.12649440059492267,131,1,7.0,530.0,1.0,3.4,3.9166666666666665,0.784464540552736,0.279145263119541
214,-0.008021096141824398,0.013393423967660033,-0.025371819256143586,-0.007032113309538464,133,1,5.0,282.0,1.0,3.8,4.166666666666667,0.534522483824849,0.377964473009227
216,-0.007246553854534851,0.005123227248379381,0.06532445413568025,0.023228314414897408,135,1,5.0,1062.0,1.0,4.0,4.5,-1.0,0.87831006565368
218,0.0133699817946577,0.0035871360357284496,0.10937458780578456,0.04806620805406845,136,1,2.0,860.0,1.0,3.8,4.0,0.372677996249965,0.391076944437521
219,0.006383934644255989,0.032744776939805466,0.005757763289986606,0.004272087627460596,136,2,5.0,525.0,1.0,3.8,4.083333333333333,0.74535599249993,-0.316227766016838
224,-0.011506393633702549,0.040567366221745206,0.015255319668197494,0.0039357319863754315,138,2,7.0,821.0,1.0,2.7,3.8333333333333335,0.912870929175277,0.600532564178963
225,-0.017309807917146536,-0.01301924437724395,0.007271680567123796,-0.007600005061167645,138,3,11.0,534.0,0.0,2.7,3.75,0.868599036215379,0.581087203147976
226,0.04901260062905723,-0.16298797934787315,-0.05839904254111214,0.03262320121815674,139,1,10.0,605.0,0.0,2.7,3.9166666666666665,-0.456435464587638,0.787295821622217
227,-0.04664422934504304,0.05069978810184965,0.007669166974475533,0.07322919848276667,139,2,9.0,531.0,1.0,3.1,4.0,-0.375,0.666666666666667
229,0.018514788849022266,0.06563894869183856,0.03436102165667969,0.019283448765590332,140,3,11.0,265.0,1.0,3.7,4.166666666666667,-0.408248290463863,-0.233549683248457
230,0.009924220068507386,0.011683230641370576,0.016140844333747094,-0.0028890864453502293,141,3,2.0,0.0,1.0,4.3,4.416666666666667,0.612372435695795,0.87831006565368
236,-0.008553577367989005,0.02008577326921365,-0.0025005122775759747,-0.0031930224047461626,144,1,4.0,1592.0,1.0,3.7,4.083333333333333,-0.514495755427527,-0.29277002188456
237,0.006575212971922007,0.010928552137044323,-0.0008109544643857113,0.02360845724046353,145,1,3.0,472.0,1.0,3.8,3.6666666666666665,-0.133630620956212,0.790569415042095
